; GeoPIXE tabulated mass attenuation coefficients.
; Total photoelectric cross sections from the EGSnrc distribution
; of the Sabbatucci & Salvat renormalized MCDF calculation
; (HEN_HOUSE/data/photo_shellwise.data), converted from
; barns/atom to cm^2/g via mu/rho = sigma N_A 1e-24 / A.
; Photoabsorption only; excludes coherent/incoherent scattering.
; As distributed by EGSnrc the grid starts at 1 keV, so this set
; does NOT cover the sub-keV region.
;
Dataset    SabbatucciSalvat2016
Reference  L. Sabbatucci, F. Salvat, Radiat. Phys. Chem. 121 (2016) 122-140
Quantity   photoelectric mass attenuation coefficient
Units      keV cm2/g
Elements   92
;
; Edge discontinuities are encoded as repeated abscissae:
; two rows with identical energy bracket a jump. Never
; interpolate across such a pair.
;
Element    H     1     1.007900
Range      1.000000E+00 1.000000E+06
Npoints    158
Data
  1.400000E+00  1.920853E+01
  1.500000E+00  1.536559E+01
  1.620190E+00  1.195181E+01
  1.750000E+00  9.309027E+00
  2.000000E+00  6.017732E+00
  2.200000E+00  4.402259E+00
  2.500000E+00  2.890600E+00
  2.738610E+00  2.135433E+00
  3.000000E+00  1.582147E+00
  3.500000E+00  9.483766E-01
  4.000000E+00  6.078532E-01
  4.500000E+00  4.101197E-01
  5.000000E+00  2.881904E-01
  5.500000E+00  2.093215E-01
  6.000000E+00  1.562483E-01
  6.480740E+00  1.204040E-01
  7.000000E+00  9.297216E-02
  8.000000E+00  5.923637E-02
  9.000000E+00  3.977237E-02
  1.000000E+01  2.783431E-02
  1.100000E+01  2.014602E-02
  1.250000E+01  1.305054E-02
  1.400000E+01  8.876361E-03
  1.500000E+01  7.018308E-03
  1.620190E+01  5.390588E-03
  1.750000E+01  4.150456E-03
  2.000000E+01  2.631711E-03
  2.200000E+01  1.900632E-03
  2.500000E+01  1.228008E-03
  2.738610E+01  8.973119E-04
  2.866330E+01  7.681006E-04
  3.000000E+01  6.583431E-04
  3.500000E+01  3.885308E-04
  3.741660E+01  3.090060E-04
  4.000000E+01  2.460433E-04
  4.500000E+01  1.644451E-04
  5.000000E+01  1.146939E-04
  5.500000E+01  8.280572E-05
  6.000000E+01  6.151533E-05
  6.480740E+01  4.722670E-05
  7.000000E+01  3.635732E-05
  8.000000E+01  2.307494E-05
  9.000000E+01  1.546625E-05
  1.000000E+02  1.082351E-05
