; GeoPIXE tabulated mass attenuation coefficients.
; Chantler FFAST photo-absorption, via the xraydb package.
; Source: NIST FFAST, C.T. Chantler et al.
; Photoabsorption only; excludes coherent/incoherent scattering.
; Unlike XCOM and Scofield this set extends below 1 keV, which
; is the whole light-element range. Requests outside the
; per-element Range must be refused, not extrapolated.
;
Dataset    FFAST
Reference  C.T. Chantler, J. Phys. Chem. Ref. Data 24 (1995) 71; 29 (2000) 597; NIST FFAST
Quantity   photoelectric mass attenuation coefficient
Units      keV cm2/g
Elements   92
;
; Edge discontinuities are encoded as repeated abscissae:
; two rows with near-identical energy bracket a jump. Never
; interpolate across such a pair.
;
Element    H     1     1.007800
Range      1.005907E-02 2.998741E+01
Npoints    807
Data
  5.143544E-02  7.870300E+04
  5.194979E-02  7.647700E+04
  5.246929E-02  7.431200E+04
  5.299398E-02  7.220700E+04
  5.352392E-02  7.016100E+04
  5.405916E-02  6.817000E+04
  5.459975E-02  6.623500E+04
  5.514574E-02  6.435400E+04
  5.569720E-02  6.252400E+04
  5.625417E-02  6.074500E+04
  5.681671E-02  5.901600E+04
  5.738488E-02  5.733400E+04
  5.795873E-02  5.569900E+04
  5.853832E-02  5.411000E+04
  5.912370E-02  5.256500E+04
  5.971493E-02  5.106300E+04
  6.031208E-02  4.960300E+04
  6.091520E-02  4.818300E+04
  6.152436E-02  4.680300E+04
  6.213960E-02  4.546200E+04
  6.276099E-02  4.415800E+04
  6.338860E-02  4.289100E+04
  6.402249E-02  4.165900E+04
  6.466271E-02  4.046200E+04
  6.530934E-02  3.929800E+04
  6.596243E-02  3.816700E+04
  6.662205E-02  3.706800E+04
  6.728827E-02  3.600000E+04
  6.796116E-02  3.496200E+04
  6.864077E-02  3.395300E+04
  6.932718E-02  3.297200E+04
  7.002045E-02  3.201900E+04
  7.072065E-02  3.109300E+04
  7.142786E-02  3.019300E+04
  7.214213E-02  2.931900E+04
  7.286355E-02  2.846900E+04
  7.359219E-02  2.764400E+04
  7.432811E-02  2.684200E+04
  7.507139E-02  2.606200E+04
  7.582210E-02  2.530500E+04
  7.658032E-02  2.456900E+04
  7.734613E-02  2.385400E+04
  7.811959E-02  2.315900E+04
  7.890078E-02  2.248500E+04
  7.968979E-02  2.182900E+04
  8.048669E-02  2.119200E+04
  8.129155E-02  2.057300E+04
  8.210447E-02  1.997200E+04
  8.292551E-02  1.938900E+04
  8.375477E-02  1.882100E+04
  8.459231E-02  1.827000E+04
  8.543824E-02  1.773500E+04
  8.629262E-02  1.721500E+04
  8.715554E-02  1.671100E+04
  8.802710E-02  1.622000E+04
  8.890737E-02  1.574400E+04
  8.979644E-02  1.528100E+04
  9.069440E-02  1.483200E+04
  9.160135E-02  1.439500E+04
  9.251736E-02  1.397100E+04
  9.344253E-02  1.356000E+04
  9.437696E-02  1.316000E+04
  9.532072E-02  1.277200E+04
  9.627393E-02  1.239500E+04
  9.723667E-02  1.202900E+04
  9.820904E-02  1.167300E+04
  9.919112E-02  1.132800E+04
  1.001830E-01  1.099300E+04
  1.011849E-01  1.066700E+04
  1.021967E-01  1.035100E+04
  1.032187E-01  1.004400E+04
  1.042509E-01  9.746400E+03
  1.052934E-01  9.457000E+03
  1.063463E-01  9.176100E+03
  1.074098E-01  8.903400E+03
  1.084839E-01  8.638600E+03
  1.095687E-01  8.381600E+03
  1.106644E-01  8.132000E+03
  1.117710E-01  7.889700E+03
  1.128887E-01  7.654500E+03
  1.140176E-01  7.426200E+03
  1.151578E-01  7.204500E+03
  1.163094E-01  6.989400E+03
  1.174725E-01  6.780500E+03
  1.186472E-01  6.577800E+03
  1.198337E-01  6.381000E+03
  1.210320E-01  6.189900E+03
  1.222423E-01  6.004500E+03
  1.234647E-01  5.824600E+03
  1.246994E-01  5.649900E+03
  1.259464E-01  5.480300E+03
  1.272058E-01  5.315800E+03
  1.284779E-01  5.156100E+03
  1.297627E-01  5.001100E+03
  1.310603E-01  4.850700E+03
  1.323709E-01  4.704700E+03
  1.336946E-01  4.563000E+03
  1.350316E-01  4.425600E+03
  1.363819E-01  4.292200E+03
  1.377457E-01  4.162700E+03
  1.391231E-01  4.037100E+03
  1.405144E-01  3.915100E+03
  1.419195E-01  3.796900E+03
  1.433387E-01  3.682100E+03
  1.447721E-01  3.570700E+03
  1.462198E-01  3.462600E+03
  1.476820E-01  3.357800E+03
  1.491588E-01  3.256000E+03
  1.506504E-01  3.157300E+03
  1.521569E-01  3.061500E+03
  1.536785E-01  2.968600E+03
  1.552153E-01  2.878500E+03
  1.567674E-01  2.791000E+03
  1.583351E-01  2.706200E+03
  1.599184E-01  2.623900E+03
  1.615176E-01  2.544000E+03
  1.631328E-01  2.466500E+03
  1.647641E-01  2.391400E+03
  1.664118E-01  2.318500E+03
  1.680759E-01  2.247800E+03
  1.697566E-01  2.179200E+03
  1.714542E-01  2.112700E+03
  1.731688E-01  2.048100E+03
  1.749004E-01  1.985500E+03
  1.766494E-01  1.924800E+03
  1.784159E-01  1.865900E+03
  1.802001E-01  1.808800E+03
  1.820021E-01  1.753400E+03
  1.838221E-01  1.699700E+03
  1.856603E-01  1.647600E+03
  1.875169E-01  1.597000E+03
  1.893921E-01  1.548000E+03
  1.912860E-01  1.500500E+03
  1.931989E-01  1.454400E+03
  1.951309E-01  1.409700E+03
  1.970822E-01  1.366300E+03
  1.990530E-01  1.324300E+03
  2.010435E-01  1.283500E+03
  2.030539E-01  1.244000E+03
  2.050845E-01  1.205600E+03
  2.071353E-01  1.168400E+03
  2.092067E-01  1.132400E+03
  2.112987E-01  1.097400E+03
  2.134117E-01  1.063600E+03
  2.155458E-01  1.030700E+03
  2.177013E-01  9.988400E+02
  2.198783E-01  9.679500E+02
  2.220771E-01  9.380000E+02
  2.242979E-01  9.089700E+02
  2.265408E-01  8.808100E+02
  2.288062E-01  8.535200E+02
  2.310943E-01  8.270600E+02
  2.334052E-01  8.014100E+02
  2.357393E-01  7.765400E+02
  2.380967E-01  7.524300E+02
  2.404776E-01  7.290600E+02
  2.428824E-01  7.064000E+02
  2.453112E-01  6.844400E+02
  2.477643E-01  6.631500E+02
  2.502420E-01  6.425100E+02
  2.527444E-01  6.225100E+02
  2.552719E-01  6.031200E+02
  2.578246E-01  5.843200E+02
  2.604028E-01  5.661000E+02
  2.630068E-01  5.484400E+02
  2.656369E-01  5.313300E+02
  2.682933E-01  5.147400E+02
  2.709762E-01  4.986600E+02
  2.736860E-01  4.830800E+02
  2.764228E-01  4.679700E+02
  2.791870E-01  4.533300E+02
  2.819789E-01  4.391500E+02
  2.847987E-01  4.254000E+02
  2.876467E-01  4.120700E+02
  2.905232E-01  3.991600E+02
  2.934284E-01  3.866500E+02
  2.963627E-01  3.745200E+02
  2.993263E-01  3.627700E+02
  3.023195E-01  3.513800E+02
  3.053427E-01  3.403400E+02
  3.083962E-01  3.296500E+02
  3.114801E-01  3.192900E+02
  3.145949E-01  3.092500E+02
  3.177409E-01  2.995200E+02
